N° officiel,Établissement,Ville,Filières de formation,Titres délivrés,Source,Année / édition,Note
1,INSTITUT SUPERIEUR DE GENIE ELECTRIQUE DU BURKINA FASO,OUAGADOUGOU,"BAC + 2 : Electricité Indu trielle
- Maintenance Indu trielle
- Ré eaux Informatique  et
- Télécommunication
Ingénierie : Sy tème  Electrique
- Ré eaux Informatique  et
- Télécommunication Maintenance de  Sy tème
- Indu triel Electricité Indu trielle et Energie
- Renouvelable Informatique Ré eaux et
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
2,UNIVERSITE SAINT THOMAS D’AQUIN,OUAGADOUGOU,"Licence : Science  Biomédicale
- Production  Animale
- Finance, Comptabilité et Audit
- Ge tion Commerciale et
- Marketing Droit Public et Droit Privé
- Ge tion de  Entrepri e  et de
- Organi ation Economie /Macroéconomie et
- Ge tion du Développement Economie Agricole et de
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
3,UNIVERSITE LIBRE DU BURKINA,OUAGADOUGOU,"- Droit Privé (droit de  Affaire  et
- Fi calité) Economie et Politique du
- Développement Economie et Politique Agricole
- Banque et Finance
- Comptabilité, Contrôle et Audit
- Admini tration de  Affaire
-
Doctorat : Médecine Humaine
-
Licence : Diplomatie et Relation
- Internationale Science  de l’Information et de la
- Communication Ge tion et Admini tration de
- Entrepri e Ge tion Financière et Bancaire
- Ge tion de  Re ource
- Humaine Communication pour le
- Développement Droit de  Affaire
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
4,INSTITUT AFRICAIN DE MANAGEMENT DE BOBO-DIOULASSO,BOBO-DIOULASSO,"- Entrepri e Ge tion Financière et Bancaire
- Ge tion de  Re ource
- Humaine Droit de  Affaire
- Droit de l’Urbani me et de la
- Con truction Droit du Foncier et de
- l’Immobilier Ge tion de  Projet
-
Licence : Marketing et Ge tion
- Commerciale Finance Comptabilité
- Tran port Logi tique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
5,INSTITUT POLYTECHNIQUE AFRICAIN,OUAGADOUGOU,"BAC + 2 : Agriculture ;
- Finance Comptabilité ;
- Comptabilité- Contrôle Audit ;
- Marketing et Ge tion
- Commerciale ; Communication d’Entrepri e ;
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
6,INSTITUT SCIENCES CAMPUS,OUAGADOUGOU,"- Gestion des Projets ;
- Ge tion de  Re ource  Humaine
- Réseaux et Système Informatique
MASTER : Comptabilité – Contrôle Audit
- Finance Banque
- Ge tion Logi tique et
- Management de  Opération , Marketing et Vente
- Ge tion de  Projet
- Ré eaux et Sy tème
- Informatique
LICENCE : Science  et Technologie de
- l’Eau, de l’Energie et de l’Environnement ; Banque et Micro Finance ;
- Sy tème d’Information
- Géographique ; Ré eaux Informatique  et
- Télécommunication  ; Economie et Ge tion de
- Entrepri e  et de  Organi ation  ;",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
7,INSTITUT DES SCIENCES ET TECHNIQUE,OUAGADOUGOU,,,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
8,ECOLE SUPERIEURE DES METIERS FERROVIAIRES,OUAGADOUGOU,"BAC + 2 :
- Exploitation
- Matériel Traction
- Voie et Bâtiment
BAC + 2: Finance et Comptabilité
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
9,INSTITUT SUPERIEUR DES FILIERES PROFESSIONNALISANTES,OUAGADOUGOU,"- Ge tion Commerciale
- Secrétariat de Direction
- Tran port et Logi tique
- Communication d’Entrepri e
- Agriculture
- Ge tion de  Re ource
- Humaine A urance Banque Finance
- Maintenance Indu trielle
- Electronique et Informatique
- Indu trielle Stati tique  et Informatique
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
10,UNIVERSITE AUBE NOUVELLE,OUAGADOUGOU,"- Marketing et Ge tion
- Commerciale Technologie de  Ré eaux et
- Sy tème Technologie du Génie
- Informatique
Licence : Marketing
- Ge tion de  Re ource
- Humaine Ge tion de  Projet
- Banque A urance
- Technique  Comptable  et
- Financière Communication de  Entrepri e
- et de  Organi ation Science  Juridique  et Politique
- (Droit Public et Privé) Economique (Management
- International et Analy e Economique) A i tanat de Direction Bilingue
- Communication pour le
-",,Repertoire_national_des_titres_et_diplomes_des_institutions_publiques_d_enseignement_superieur.pdf,Répertoire national (édition du PDF fourni),Extraction automatique depuis le PDF; les filières sont conservées au plus près du texte source. Vérification manuelle recommandée avant usage réglementaire.
